Real,Prediccion,Riesgo
4.08333333333333,4.8157926,BAJO (Bueno)
45.4166666666667,47.57351,ALTO (Dañino Sensible)
8.66666666666667,9.741724,BAJO (Bueno)
33.75,35.79315,ALTO (Dañino Sensible)
21.9166666666667,23.327477,MEDIO (Moderado)
5.91666666666667,3.6282809,BAJO (Bueno)
0.0,1.1979561,BAJO (Bueno)
3.25,3.8207839,BAJO (Bueno)
25.4166666666667,27.206528,MEDIO (Moderado)
3.75,4.753413,BAJO (Bueno)
3.83333333333333,4.5270443,BAJO (Bueno)
28.9166666666667,31.230553,MEDIO (Moderado)
14.249999999999998,14.311907,MEDIO (Moderado)
75.3333333333333,75.43836,MUY ALTO (Dañino)
51.25,52.76634,ALTO (Dañino Sensible)
68.8333333333333,69.58231,MUY ALTO (Dañino)
0.0,1.9965236,BAJO (Bueno)
44.8333333333333,47.14897,ALTO (Dañino Sensible)
15.4166666666667,16.348736,MEDIO (Moderado)
0.0,1.5165964,BAJO (Bueno)
4.25,5.9499564,BAJO (Bueno)
0.0,1.2899866,BAJO (Bueno)
22.0,22.264885,MEDIO (Moderado)
0.0,1.4955579,BAJO (Bueno)
34.8333333333333,35.559082,ALTO (Dañino Sensible)
3.9166666666666696,5.2665715,BAJO (Bueno)
9.75,9.802755,BAJO (Bueno)
0.0,1.2740368,BAJO (Bueno)
42.0,43.98035,ALTO (Dañino Sensible)
2.08333333333333,2.8916423,BAJO (Bueno)
21.75,22.352875,MEDIO (Moderado)
0.0,1.8486544,BAJO (Bueno)
2.58333333333333,4.280337,BAJO (Bueno)
23.083333333333304,24.265533,MEDIO (Moderado)
22.4166666666667,23.31722,MEDIO (Moderado)
11.0833333333333,11.590549,BAJO (Bueno)
11.3333333333333,11.031117,BAJO (Bueno)
28.0833333333333,29.418945,MEDIO (Moderado)
2.33333333333333,3.8995628,BAJO (Bueno)
79.5,79.606674,MUY ALTO (Dañino)
37.5833333333333,39.11817,ALTO (Dañino Sensible)
15.3333333333333,15.237017,MEDIO (Moderado)
23.083333333333304,24.411575,MEDIO (Moderado)
52.3333333333333,53.81144,ALTO (Dañino Sensible)
76.25,75.2716,MUY ALTO (Dañino)
1.7499999999999998,3.6022885,BAJO (Bueno)
3.16666666666667,3.9981024,BAJO (Bueno)
4.0,5.0869274,BAJO (Bueno)
22.8333333333333,23.683699,MEDIO (Moderado)
2.41666666666667,4.1284523,BAJO (Bueno)
4.5,5.6575227,BAJO (Bueno)
1.08333333333333,1.6566256,BAJO (Bueno)
25.1666666666667,27.119856,MEDIO (Moderado)
3.75,4.5865755,BAJO (Bueno)
7.83333333333333,7.997832,BAJO (Bueno)
25.75,27.608284,MEDIO (Moderado)
3.4999999999999996,5.1189017,BAJO (Bueno)
80.3333333333333,79.25765,MUY ALTO (Dañino)
19.5,19.922537,MEDIO (Moderado)
3.41666666666667,4.820756,BAJO (Bueno)
2.58333333333333,3.350678,BAJO (Bueno)
15.3333333333333,14.964603,MEDIO (Moderado)
18.0,18.851763,MEDIO (Moderado)
60.6666666666667,61.08751,MUY ALTO (Dañino)
0.0,1.6809957,BAJO (Bueno)
16.5833333333333,16.56584,MEDIO (Moderado)
5.5,4.551017,BAJO (Bueno)
7.4166666666666705,7.7085443,BAJO (Bueno)
4.91666666666667,6.4611983,BAJO (Bueno)
6.41666666666667,6.892614,BAJO (Bueno)
3.58333333333333,4.5273666,BAJO (Bueno)
22.75,23.80531,MEDIO (Moderado)
3.9166666666666696,5.3281007,BAJO (Bueno)
5.08333333333333,6.169075,BAJO (Bueno)
2.5,3.518707,BAJO (Bueno)
28.0833333333333,29.76995,MEDIO (Moderado)
1.0,3.1970336,BAJO (Bueno)
16.3333333333333,16.975111,MEDIO (Moderado)
1.41666666666667,2.3395846,BAJO (Bueno)
23.3333333333333,24.866741,MEDIO (Moderado)
14.166666666666702,15.023013,MEDIO (Moderado)
